case,nit_noP,nit_P,adj_nit_noP,adj_nit_P
rdb968,breakdown αₖ == 0,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol
rw136,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
rw496,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
rw5151,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
tub100,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
tub1000,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
cryg10000,breakdown αₖ == 0,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol
cryg2500,breakdown αₖ == 0,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
dw2048,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
dw8192,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
dwa512,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
dwb512,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
mhd3200a,maximum number of iterations exceeded,maximum number of iterations exceeded,breakdown αₖ == 0,breakdown αₖ == 0
mhd4800a,maximum number of iterations exceeded,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
qh1484,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
qh768,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
rdb1250,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb1250l,breakdown αₖ == 0,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb200,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb200l,maximum number of iterations exceeded,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb2048_noL,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb3200l,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb450,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb450l,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb800l,breakdown αₖ == 0,breakdown αₖ == 0,solution good enough given atol and rtol,solution good enough given atol and rtol
tols1090,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
tols2000,breakdown αₖ == 0,breakdown αₖ == 0,maximum number of iterations exceeded,maximum number of iterations exceeded
tols340,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
tols4000,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
tols90,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0,breakdown αₖ == 0
